Account,Business Name,Address,City,State,Postal Code,Country,Storecode,Tags,Reviewer Name,Review,Rating,Date Posted,Reply,Date Replied,Vendor,URL
synergyhlthcr-avardis,Jamestown Health and Rehabilitation,1811 Jamestown Rd,Williamsburg,VA,23185-2326,US,2658,,Joyce Agard-Jones,"The one star is for the nursing staff, aides and ancillary personnel who attended my husband during his stay for rehabilitation.  They were kind and caring, working under extremely challenging conditions. They should actually get medals! However, the physician and nurse practitioner assigned to the facility were terrible, showing little or no interest in my husband during his almost three week stay. Mainly because they only saw him once (the doctor) and twice (the NP), despite my requests to meet with them. They never saw or acknowledged and thus ignored, my husbabd’s rapid decline.  The doctor never saw him after the initial “admitting assessment”—actually telling me, as I cornered him in the hallway,  that he “didn't want to get into the NPs lane.”  It made me question his driving ability. The facility is shabby and depressing.  It was recently purchased from another company (whose reputation was awful)and instead of closing it down and at least painting the rooms, they obviously just changed the locks. The rooms were “furnished” with what  looked as if they had just backed a truck up to a Goodwill store and took whatever they had. The walls had gouges in them where the previous beds and equipment had been ripped out.  The beds were old.  There were days the toilet backed up and brackish water would just sit.  The food was as unappealing as I’ve ever seen.  There were times when the entree was unrecognizable.  The “menu” was laughable since many times the stated food was “unavailable”.  One night they forgot to bring his dinner. One of the staff warned me to “get him out of here as soon as you can.” By that time it was too late.  To my eternal regret, my husband died there. He deserved better. Much better.",1,1/31/2026,,,gmb,https://maps.google.com/maps?cid=2496657677262714810
synergyhlthcr-avardis,Westwood Health and Rehabilitation,625 Ashland St,Archdale,NC,27263-2943,US,2552,,Jennifer,,1,1/30/2026,,,gmb,https://maps.google.com/maps?cid=8729691537125028428
synergyhlthcr-avardis,The Manor at St. Luke Village,1711 East Broad Street,Hazelton,PA,18201-5697,US,2604,,Melissa Delregno,"My father was discharged from St Luke’s Manor in Hazleton PA only to have the facility need to call an ambulance and get taken to the ER. Prior to this even happening, the worker at the facility looked at the his personal home nurse who was there to pick him up and take him home asked “are you going to take him? What do you want me to do”. You call an ambulance is what you do.
His room had an outlet hanging out of the wall which is a fire hazard. I had to call director of nursing to order a Doppler to be done since the two previous nurses I asked said they would, and never did. He lost a decent amount of weight and his nutrition went downhill. I would not recommend this facility to anyone and it’s a disgrace how the elderly are not taken care of properly. Dentures were never cleaned. Bed was made sometimes. He ended up being admitted to the hospital and has a UTI that is sepsis’s Google it, an untreated UTI! He will never be coming back there!",1,1/30/2026,,,gmb,https://maps.google.com/maps?cid=15792902854454127792
synergyhlthcr-avardis,Courtyard Health and Rehabilitation,501 S Locust St,McComb,MS,39648-4336,US,2506,,angela jackson,Shitty place they let patients fall out of beds don’t even check on them till the next day and nasty on inside about to have a lawsuit,1,1/29/2026,,,gmb,https://maps.google.com/maps?cid=15418050129558257653
synergyhlthcr-avardis,Biltmore Haven Nursing and Rehabilitation,3864 Sweeten Creek Rd,Arden,NC,28704-3136,US,2561,,Robert Vedo,"I am a resident here ,going by my experience's of being in other facilities.this place is great ,staff is great, hygiene great.other places smell like soiled diaper pails.physical therapy is great,nurses ,house keeping,laundry ,kitchen staff,transportation,all great thank You",5,1/29/2026,Many thanks for the 5-star review! We genuinely value your support and feedback.,2/3/2026,gmb,https://maps.google.com/maps?cid=16957879690051259397
synergyhlthcr-avardis,Newport News Nursing and Rehabilitation,12997 Nettles Dr,Newport News,VA,23602-6913,US,2654,,Douglas Wolff,I had a great skilled stay. Everyone went above and beyond. Everyone deserves a raise! Thanks for getting me back on my feet and back to work!,5,1/29/2026,Thank you for the 5-star rating! We are committed to helping every person in our care reach new heights. Your support means the world to our team!,2/3/2026,gmb,https://maps.google.com/maps?cid=2324153722059615782
synergyhlthcr-avardis,Hibriten Mountain Nursing and Rehabilitation,2030 Harper Ave NW,Lenoir,NC,28645-4953,US,2557,,Missy Brown Lail,Dedicated staff that care about the residents.  Great wound care; excellent providers that come to the facility.,5,1/29/2026,Many thanks for the 5-star review! We genuinely value your support and feedback.,2/3/2026,gmb,https://maps.google.com/maps?cid=11623040022405330618
synergyhlthcr-avardis,Ocean Springs Health and Rehabilitation Center,1199 Ocean Springs Rd,Ocean Springs,MS,39564-3421,US,2019,,Marilyn Faulk,All the therapist all have been so sweet i'm kind and so loving and caring.I have enjoyed being here and having them to work with reading to get stronger.You could not ask for a better team.And I love them all very much,5,1/28/2026,,,gmb,https://maps.google.com/maps?cid=9456388844909393569
synergyhlthcr-avardis,Ocean Springs Health and Rehabilitation Center,1199 Ocean Springs Rd,Ocean Springs,MS,39564-3421,US,2019,,Patricia Hebert,They did great I enjoy being with them I'm going to miss them all real good,5,1/28/2026,,,gmb,https://maps.google.com/maps?cid=9456388844909393569
synergyhlthcr-avardis,King's Daughters Community Health and Rehabilitation,1410 N Augusta St,Staunton,VA,24401-2401,US,2653,,patricia driver,"Horrible place!  Understaffed,  untrained help. Two people in a very small space. Couldn't find help. Room was like being in a thrift store. Furniture should have been thrown in the trash. Do not put your loved one here. Social worker should never give this place out at the hospital. We were not aware of the condition of this place. I blame our government for letting places like this remain open.
Please investigate.",1,1/27/2026,,,gmb,https://maps.google.com/maps?cid=11489819334989089200
