Account,Business Name,Address,City,State,Postal Code,Country,Storecode,Tags,Reviewer Name,Review,Rating,Date Posted,Reply,Date Replied,Vendor,URL
synergyhlthcr-nspire,NSPIRE Healthcare Lauderhill,2599 NW 55th Ave,Lauderhill,FL,33313-2443,US,2010,,Lynden James,"My mom is 100% different from prior. she is responsive her look is better
Here at nspire they treat her better.i am very happy",5,1/28/2026,,,gmb,https://maps.google.com/maps?cid=11701062337551936383
synergyhlthcr-nspire,NSPIRE Healthcare Tamarac,5901 NW 79th Ave,Tamarac,FL,33321-4639,US,2012,,Cindy P,"If I could negative stars I would.  This place is a joke.  My neighbor was there for just over a week and it took 8 days of repeated requests for a phone in her room so that her family could speak with her, everyone would point to someone else. I spoke with in person AND left several messages to speak with the facility doctor, or nurse practitioner, and charge nurse, no one EVER called and when I asked for their names, they would not provide.  The ONLY person who cared there was a Nurse named Cindy and the receptionist when you walked in.  If your family member cannot advocate for themselves, they will be left to die there.   My neighbor, once we were able to get her a phone, was able to call and get herself out of there.   Do better NSpire!",1,1/28/2026,,,gmb,https://maps.google.com/maps?cid=15546200343318802219
synergyhlthcr-nspire,NSPIRE Healthcare Kendall,9400 SW 137th Ave,Miami,FL,33186-1434,US,2014,,ALFREDO REGUEIRO,"Thank you everyone,.Especially all nursing Department .Professional  nursing staff,CNA and maintenance Department. My wife is in this facility for rehab ,I recommend this place for any family. THANK YOU",5,1/26/2026,,,gmb,https://maps.google.com/maps?cid=1603705479706553161
synergyhlthcr-nspire,NSPIRE Healthcare Kendall,9400 SW 137th Ave,Miami,FL,33186-1434,US,2014,,OSCAR ALBERTO MOLINA,"Excellent nursing care services.I recommend this place totally.My wife has lived in that facility for years and the care she has received from everyone has been incredible.Thank you to all staff,CNAs,DON,ED and nurse.Lucia Barrios family members",5,1/26/2026,,,gmb,https://maps.google.com/maps?cid=1603705479706553161
synergyhlthcr-nspire,NSPIRE Healthcare Kendall,9400 SW 137th Ave,Miami,FL,33186-1434,US,2014,,yuleisy toledo,"My family member stayed at Nspire of Kendall Rehabilitation center .Thank you to the entire nursing department,CNA,nurses ,supervisors,administrators,DON,housekeeping,excellent care and support.I highly recommend this facility",5,1/24/2026,,,gmb,https://maps.google.com/maps?cid=1603705479706553161
synergyhlthcr-nspire,NSPIRE Healthcare Kendall,9400 SW 137th Ave,Miami,FL,33186-1434,US,2014,,Arturo Gómez,"(Translated by Google) I wanted to thank all the staff at this very special center for their professional nursing service. My mother was discharged yesterday, and it was an excellent experience. I highly recommend this place. Thank you all.

(Original)
Quería dar las gracias a todos los trabajadores de este centro tan especial,por todo su servicio profesional de enfermería.Mi mamá fue discharged ayer y fue una experiencia excelente.Recomiendo el lugar sin duda alguna.Gracias a todos",5,1/24/2026,,,gmb,https://maps.google.com/maps?cid=1603705479706553161
synergyhlthcr-nspire,NSPIRE Healthcare Kendall,9400 SW 137th Ave,Miami,FL,33186-1434,US,2014,,Felicia Pacheco,"My father stayed at Nspire of Kendall at the moment,and I am truly grateful for the care he received,especially from the nursing staff.Throughout his stay ,the nurses were professional ,compassionate ,and consistently attentive to his needs.Thank you The DON and nursing Supervisor Jose .Their dedication and level of care made a very positive difference in his recovery.Thank you to entire nursing team for the excellent care and support",5,1/24/2026,,,gmb,https://maps.google.com/maps?cid=1603705479706553161
synergyhlthcr-nspire,NSPIRE Healthcare Kendall,9400 SW 137th Ave,Miami,FL,33186-1434,US,2014,,Yosvani Montelongo,"I want to Thank Nspire of Kendall for the outstanding care provided by their nursing staff .From day the team demonstrated professionalism,patience,and genuine compassion.The nurses are attentive,respectful and always willing to go the extra mole to ensure patients feel confortable and well care for.Their dedication truly makes a difference in the recovery process.I am very grateful for the excellent service and would highly recomended this center to anyone in need of quality rehabilitation care",5,1/24/2026,,,gmb,https://maps.google.com/maps?cid=1603705479706553161
synergyhlthcr-nspire,NSPIRE Healthcare Kendall,9400 SW 137th Ave,Miami,FL,33186-1434,US,2014,,Yadira Rivero,"I cannot say enough wonderful things about this rehab center. From the moment my aunt arrived,  she felt supported, respected, and genuinely cared for. The staff is incredibly professional, compassionate, and attentive—they truly go above and beyond to make sure every patient feels safe and encouraged throughout their recovery journey.",5,1/24/2026,,,gmb,https://maps.google.com/maps?cid=1603705479706553161
synergyhlthcr-nspire,NSPIRE Healthcare Kendall,9400 SW 137th Ave,Miami,FL,33186-1434,US,2014,,Cindy Lopez Fraga,"I have my father in this facility.Im recommended this center ,excellent nursing care and maintenance services.Thank you for nursing services,CNA,especially Yoanka and Yeili .",5,1/24/2026,,,gmb,https://maps.google.com/maps?cid=1603705479706553161
synergyhlthcr-nspire,NSPIRE Healthcare Kendall,9400 SW 137th Ave,Miami,FL,33186-1434,US,2014,,Estrella Crego,"I would like to express my sincere gratitude  to Nspire of kendall center,especially to the nursing staff,for their excellent and highly professional care.The nursing team consistently shows dedication,compassion and genuine concern for the patients well -being.Their attentiveness and professionalism make a meaningful difference and create a safe and supportive environment.Thank you for you outstanding service and for treating patients with such respect and humanity.I highly recommend this facility",5,1/24/2026,,,gmb,https://maps.google.com/maps?cid=1603705479706553161
synergyhlthcr-nspire,NSPIRE Healthcare Kendall,9400 SW 137th Ave,Miami,FL,33186-1434,US,2014,,JOSE ARMANDO GOMEZ MORALES,"(Translated by Google) My father is in this rehabilitation center, and I want to express my gratitude to the entire nursing department and all the other staff for their dedication and professionalism. I wholeheartedly recommend this place without a doubt. Thank you again.

(Original)
TENGO A MI PADRE EN ESTE REHABILITACIÓN CENTER Y QUIERO DAR LAS GRACIAS Y AGRADECIMIENTO A TODO EL DEPARTAMENTO DE ENFERMERÍA Y DEMAS TRABAJADORES POR TODA SU DEDICACIÓN Y PROFESIONALIDAD. RECOMIENDO TOTALMENTE ESTE LUGAR SIN DUDA ALGUNA.UNA VEZ MAS GRACIAS",5,1/24/2026,,,gmb,https://maps.google.com/maps?cid=1603705479706553161
synergyhlthcr-nspire,NSPIRE Healthcare Kendall,9400 SW 137th Ave,Miami,FL,33186-1434,US,2014,,Abdiela Sanz,"This place is terrible. The negligence is surreal. My aunt is here after a fall on Dec 27. Sadly, we can’t care for her at home since she’s not walking at all. My mom goes to visit everyday and today we find this on my aunt. Come to find they have never bathed her since she’s been at this place. She has sores on her body. Then we find a cup next to her bed growing mold. Clearly they aren’t even cleaning her room. This place is horrible.",1,1/24/2026,,,gmb,https://maps.google.com/maps?cid=1603705479706553161
synergyhlthcr-nspire,NSPIRE Healthcare Tamarac,5901 NW 79th Ave,Tamarac,FL,33321-4639,US,2012,,Chris Johnson,Great Therapy and Great People 👍🏽,5,1/24/2026,,,gmb,https://maps.google.com/maps?cid=15546200343318802219
synergyhlthcr-nspire,NSPIRE Healthcare Kendall,9400 SW 137th Ave,Miami,FL,33186-1434,US,2014,,Susana Fuentes,"(Translated by Google) Excellent nurses, assistants, and office staff. Thank you all for making my father's last days a happy journey to his eternal rest. Today, January 17, 2025

(Original)
Excelentes.enfermeros.asistentes .personal de officina.para todos ellos gracias.por hacer de los últimos días de mi padre un paseo feliz hacia su descanso eterno hoy 17 de enero 2025",5,1/17/2026,,,gmb,https://maps.google.com/maps?cid=1603705479706553161
synergyhlthcr-nspire,NSPIRE Healthcare Tamarac,5901 NW 79th Ave,Tamarac,FL,33321-4639,US,2012,,Nicole Leontsinis,"This review is written on behalf of my sister who was at Nspire Tamarac for 100 days recovering from shoulder replacement surgery on her right arm.  She is paralyzed on her left side so her recovery was unique. What follows are my sisters words.

I came here after shoulder replacement surgery. The therapy department is led by Julie who is compassionate and well versed in therapy strategies. Her coworkers are also knowledgeable and compassionate individuals who use a gentle approach to motivate their patients into doing the exercises to help them regain their independence. The therapists who worked directly with me and used this approach include Tahmina, Heidi, Sheila, Reji, Jerry, Rena, Vicky, Marecio. These kind souls will always have a special place in my heart.",5,1/16/2026,,,gmb,https://maps.google.com/maps?cid=15546200343318802219
synergyhlthcr-nspire,NSPIRE Healthcare Tamarac,5901 NW 79th Ave,Tamarac,FL,33321-4639,US,2012,,Jennifer Slattery,"My dad has been to Nsipre Tamarac a few times and I have to say this time has been the best. The place is cleaner, staff has been great and the PT and OT team has been AMAZING!!  Seeing my dad improve has been wonderful to see.

Julie the PT coordinator has great! She listened to us and is always checking in on my dads progress.  Raji is phenomenal,  even on days when my dad has low energy, he’s pushing him to go the extra mile.
Erna with OT has helped him a lot and is patient with him. Vicki is great too!",5,1/12/2026,,,gmb,https://maps.google.com/maps?cid=15546200343318802219
synergyhlthcr-nspire,NSPIRE Healthcare Tamarac,5901 NW 79th Ave,Tamarac,FL,33321-4639,US,2012,,Lynn in Flawrida,"Updated today 1-6-16 in fairness. Mother was discharged and the overall experience should be fairly reported in hindsight. Patient support is still the most critical. In that regard, the experience is a ""3"" because it really depends on the specific professionals working at the site. If you are currently caretaking for a loved one, you will absolutely understand this statement. The PT and one of the aides and one of the nurses we had the privilege of working with, were so great, it impacts the scale.  Next, after engaging with the ENTIRE case management team, I must share that when collaborating directly with them, they truly take care of business. It is because of those specific staff, including the friendly receptionists, that I am modifying my personal review from ""1"" to a ""3.""  Lastly, there is an overall shortage of ""good"" elder care and I pray that all caregivers in the struggle receive miracle relief at some point in this journey. Hang in there.  -End.  Today is October 14, 2025 and nothing from the bad reviews has changed. The PT work is apparently decent and the only professionals my parent has met. Your parents, if mentally cognizant, will tell you horror stories you won't believe until you see for yourself.  Any decent employee here needs to self report to the state.  Pulling parent out.  I shouldn't have waited this long (several weeks) to request a transfer.  I posted the date above so that I can update how long it takes to get the social worker appt to plan the transfer for my parent's well being.",3,1/6/2026,,,gmb,https://maps.google.com/maps?cid=15546200343318802219
synergyhlthcr-nspire,NSPIRE Healthcare Miami Lakes,5725 NW 186th St,Hialeah,FL,33015-6019,US,2011,,Gloria Perez,"(Translated by Google) Today I had a very bad experience. I've been visiting the place because my 89-year-old mother is there for rehabilitation after a left hip fracture, and the assistant who was on duty received my mother clean from the previous shift. She didn't go to my mother's room again. By one in the afternoon, my mother hadn't been bathed, she didn't have fresh water to drink, her linens weren't changed, and she had been urinating since very early in the morning.

(Original)
Hoy tuve una experiencia muy fea llevo visitando el lugar porque mi madre de 89 años está ahí por una rehabilitación por fractura de cadera izquierda y la asistente que le tocó recibió a mi madre limpia del otro turno ella no fue más al cuarto de mami,a la una de la tarde a mi madre no la habían bañado no tenía agua fresca del día para tomar y no le cambió y estaba orinada desde muy temprano",1,1/2/2026,,,gmb,https://maps.google.com/maps?cid=11088859613584633623
synergyhlthcr-nspire,NSPIRE Healthcare Lauderhill,2599 NW 55th Ave,Lauderhill,FL,33313-2443,US,2010,,Mary Jo Leary,"My brother is a resident in this Florida facility living with dementia. I live in San Francisco. Long distance anything can be problematic. Not so with the staff from Nspire-they are caring and reassuring. They are timely, professional and kind. The front office is good to work with and nursing staff goes beyond.
Shout out to Cassandre, Social Worker and to DeeDee the activities director—their concern for my brother is such a comfort.
They do care about their residents!
Happy New Year.",5,12/31/2025,,,gmb,https://maps.google.com/maps?cid=11701062337551936383
synergyhlthcr-nspire,NSPIRE Healthcare Kendall,9400 SW 137th Ave,Miami,FL,33186-1434,US,2014,,Nurys De Leon,"Excellent services care by nursing department,especially by DON and CNA, Maria Lorenzo is one of the cnas with a special care and patience for the patients I’m really grateful for her care of my dad.",5,12/31/2025,,,gmb,https://maps.google.com/maps?cid=1603705479706553161
