CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Infection Control Inspection Deficiency,Citation under IDR,Citation under IIDR,Location,Processing Date
265339,ALPINE BREEZE HEALTH AND WELLNESS,6124 RAYTOWN ROAD,RAYTOWN,MO,64133,2023-10-23,Health,F,Administration Deficiencies,865,Have a  plan that describes the process for conducting QAPI and QAA activities.,F,"Deficient, Provider has date of correction",2023-12-07,1,Y,N,N,N,N,"6124 RAYTOWN ROAD,RAYTOWN,MO,64133",2026-02-01
265339,ALPINE BREEZE HEALTH AND WELLNESS,6124 RAYTOWN ROAD,RAYTOWN,MO,64133,2023-10-23,Health,F,Infection Control Deficiencies,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2023-12-07,1,Y,N,N,N,N,"6124 RAYTOWN ROAD,RAYTOWN,MO,64133",2026-02-01
265339,ALPINE BREEZE HEALTH AND WELLNESS,6124 RAYTOWN ROAD,RAYTOWN,MO,64133,2023-10-23,Health,F,Environmental Deficiencies,921,"Make sure that the nursing home area is safe, easy to use, clean and comfortable for residents, staff and the public.",E,"Deficient, Provider has date of correction",2023-12-07,1,Y,N,N,N,N,"6124 RAYTOWN ROAD,RAYTOWN,MO,64133",2026-02-01
265339,ALPINE BREEZE HEALTH AND WELLNESS,6124 RAYTOWN ROAD,RAYTOWN,MO,64133,2023-10-23,Health,F,Environmental Deficiencies,923,"Have enough outside ventilation via a window or mechanical ventilation, or both.",E,"Deficient, Provider has date of correction",2023-12-07,1,Y,N,N,N,N,"6124 RAYTOWN ROAD,RAYTOWN,MO,64133",2026-02-01
265339,ALPINE BREEZE HEALTH AND WELLNESS,6124 RAYTOWN ROAD,RAYTOWN,MO,64133,2023-10-23,Health,F,Environmental Deficiencies,925,"Make sure there is a pest control program to prevent/deal with mice, insects, or other pests.",E,"Deficient, Provider has date of correction",2023-12-07,1,Y,N,N,N,N,"6124 RAYTOWN ROAD,RAYTOWN,MO,64133",2026-02-01
265339,ALPINE BREEZE HEALTH AND WELLNESS,6124 RAYTOWN ROAD,RAYTOWN,MO,64133,2025-01-30,Health,F,Administration Deficiencies,835,Administer the facility in a manner that enables it to use its resources effectively and efficiently.,L,"Deficient, Provider has date of correction",2025-01-28,2,N,Y,N,N,N,"6124 RAYTOWN ROAD,RAYTOWN,MO,64133",2026-02-01
265339,ALPINE BREEZE HEALTH AND WELLNESS,6124 RAYTOWN ROAD,RAYTOWN,MO,64133,2025-01-24,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",602,Protect each resident from the wrongful use of the resident's belongings or money.,D,Past Non-Compliance,2025-01-13,2,N,Y,N,N,N,"6124 RAYTOWN ROAD,RAYTOWN,MO,64133",2026-02-01
265339,ALPINE BREEZE HEALTH AND WELLNESS,6124 RAYTOWN ROAD,RAYTOWN,MO,64133,2024-10-09,Health,F,Resident Rights Deficiencies,623,"Provide timely notification to the resident, and if applicable to the resident representative and ombudsman, before transfer or discharge, including appeal rights.",D,"Deficient, Provider has date of correction",2024-11-05,2,N,Y,N,N,N,"6124 RAYTOWN ROAD,RAYTOWN,MO,64133",2026-02-01
265339,ALPINE BREEZE HEALTH AND WELLNESS,6124 RAYTOWN ROAD,RAYTOWN,MO,64133,2024-10-09,Health,F,Resident Rights Deficiencies,626,Permit a resident to return to the nursing home after hospitalization or therapeutic leave that exceeds bed-hold policy.,D,"Deficient, Provider has date of correction",2024-11-05,2,N,Y,N,N,N,"6124 RAYTOWN ROAD,RAYTOWN,MO,64133",2026-02-01
265339,ALPINE BREEZE HEALTH AND WELLNESS,6124 RAYTOWN ROAD,RAYTOWN,MO,64133,2022-05-26,Health,F,Resident Rights Deficiencies,578,"Honor the resident's right to request, refuse, and/or discontinue treatment, to participate in or refuse to participate in experimental research, and to formulate an advance directive.",E,"Deficient, Provider has date of correction",2022-07-07,2,Y,N,N,N,N,"6124 RAYTOWN ROAD,RAYTOWN,MO,64133",2026-02-01
265339,ALPINE BREEZE HEALTH AND WELLNESS,6124 RAYTOWN ROAD,RAYTOWN,MO,64133,2022-05-26,Health,F,Resident Rights Deficiencies,584,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",E,"Deficient, Provider has date of correction",2022-07-07,2,Y,N,N,N,N,"6124 RAYTOWN ROAD,RAYTOWN,MO,64133",2026-02-01
265339,ALPINE BREEZE HEALTH AND WELLNESS,6124 RAYTOWN ROAD,RAYTOWN,MO,64133,2022-05-26,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",609,"Timely report suspected abuse, neglect, or theft and report the results of the investigation to proper authorities.",D,"Deficient, Provider has date of correction",2022-07-07,2,Y,N,N,N,N,"6124 RAYTOWN ROAD,RAYTOWN,MO,64133",2026-02-01
265339,ALPINE BREEZE HEALTH AND WELLNESS,6124 RAYTOWN ROAD,RAYTOWN,MO,64133,2022-05-26,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",610,Respond appropriately to all alleged violations.,D,"Deficient, Provider has date of correction",2022-07-07,2,Y,N,N,N,N,"6124 RAYTOWN ROAD,RAYTOWN,MO,64133",2026-02-01
